"Table 2A. Ten largest plants by capacity, 2018",,,,
Virginia,,,,
,Plant,Primary energy source,Operating company,Net summer capacity (MW)
1,Bath County,Pumped storage,Virginia Electric & Power Co,3003
2,North Anna,Nuclear,Virginia Electric & Power Co,1893
3,Possum Point,Natural gas,Virginia Electric & Power Co,1733
4,Surry,Nuclear,Virginia Electric & Power Co,1676
5,Chesterfield,Coal,Virginia Electric & Power Co,1663
6,Greensville County Power Station,Natural gas,Virginia Electric & Power Co,1585
7,Warren County,Natural gas,Virginia Electric & Power Co,1472.2
8,Brunswick County Power Station,Natural gas,Virginia Electric & Power Co,1371.1
9,Doswell Energy Center,Natural gas,Doswell Ltd Partnership,1164.8
10,Yorktown,Petroleum,Virginia Electric & Power Co,1113
"Source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report.",,,,
