Table 1. 2018 Summary statistics,,
Virginia,,
,Value,Rank
Primary energy source,Natural Gas,
Net summer capacity (megawatts),29635,12
..Electric utilities,23975,7
..IPP and CHP,5659,21
Net generation (megawatthours),95509121,17
..Electric utilities,72378588,15
..IPP and CHP,23130533,16
Emissions (thousand metric tons),,
..Sulfur dioxide (short tons),19303,26
..Nitrogen oxide (short tons),31265,22
..Carbon dioxide (thousand metric tons),33504,23
..Sulfur dioxide (lbs/MWh),0.4,33
..Nitrogen oxide (lbs/MWh),0.7,30
..Carbon dioxide (lbs/MWh),772,39
Total retail sales (megawatthours),118166348,10
..Full service provider sales (megawatthours),117389872,6
..Energy-only provider sales (megawatthours),776476,20
Direct use (megawatthours),2789651,10
Average retail price (cents/kWh),9.48,32
"Sources: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report. U.S. Energy Information Administration, Form   EIA-861, Annual Electric Power Industry Report. U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.",,
